date,Wind Speed,Pressure,Relative Humidity,Wind Direction,Dew Point
2012-01-01 00:00:00,1.948964119,991.98840332,29.7026146575,83.6444244385,-5
2012-01-01 01:00:00,1.9014669657,991.880310059,30.7971152502,85.9110641479,-5
2012-01-01 02:00:00,1.8702254295,991.473327637,31.7460325915,86.1516799927,-5
2012-01-01 03:00:00,1.7364697456,990.962707519,32.6687355539,83.9377822876,-5
2012-01-01 04:00:00,1.4495068789,991.134887695,33.5954771655,78.7093048096,-5
2012-01-01 05:00:00,4.3851575851,995.467224121,38.5890289127,14.5569000244,-4
2012-01-01 06:00:00,4.2358202934,995.913269043,37.587812992,15.9362335205,-4
2012-01-01 07:00:00,4.0984883308,996.360473633,36.630054352,15.7792663574,-5
2012-01-01 08:00:00,3.8135025501,997.236694336,31.9385360137,17.4115600586,-4
2012-01-01 09:00:00,3.3407702446,997.981933594,28.2777370815,19.0004653931,-4
2012-01-01 10:00:00,3.1589953899,998.175842285,27.611243863,18.593460083,-1
2012-01-01 11:00:00,4.0348134041,997.4140625,19.1031426662,19.5951385498,-4
2012-01-01 12:00:00,4.1860847473,996.178710938,16.4496747063,21.058807373,-5
2012-01-01 13:00:00,4.1488614082,995.658325195,15.8226644513,23.4161376953,-5
2012-01-01 14:00:00,4.0143828392,994.801635742,15.819333077,24.19115448,-5
2012-01-01 15:00:00,3.7669699192,994.211669922,16.3777022033,24.511932373,-6
2012-01-01 16:00:00,3.3351902962,994.389892578,21.5987611499,24.4236450195,-4
2012-01-01 17:00:00,2.933426857,994.572998047,29.0241499025,24.3121337891,-2
2012-01-01 18:00:00,2.5400211811,994.801086426,30.3508765662,24.3020324707,-2
2012-01-01 19:00:00,2.102399826,995.159606934,30.6853839332,23.5663986206,-3
2012-01-01 20:00:00,1.6943824291,995.380676269,29.4769648114,23.8852310181,-4
2012-01-01 21:00:00,1.3706173897,995.641479492,31.029204866,22.2423171997,-4
2012-01-01 22:00:00,1.1306424141,995.740417481,29.2987270711,19.6281356812,-5
2012-01-01 23:00:00,0.9614672065,995.583740234,31.1547930589,22.3664550781,-5
2012-01-02 00:00:00,0.8684824109,995.432189941,28.877259624,32.4930496216,-6
2012-01-02 01:00:00,0.8891755342,995.29675293,32.206220585,43.5942230225,-5
2012-01-02 02:00:00,0.8981360793,995.064758301,29.0527555139,44.4820556641,-7
2012-01-02 03:00:00,0.8449631929,994.992919922,32.8918201009,43.9055290222,-6
2012-01-02 04:00:00,0.772859931,995.013000488,30.3589131347,54.884979248,-7
2012-01-02 05:00:00,0.7091215849,995.080444336,33.4584853242,78.58253479,-6
2012-01-02 06:00:00,0.6094126105,995.461486816,31.9023977097,103.048858643,-7
2012-01-02 07:00:00,0.4432993531,996.167724609,35.2681698768,133.740509033,-5
2012-01-02 08:00:00,0.4455119371,997.117248535,35.5722962725,148.89465332,-2
2012-01-02 09:00:00,0.4271723032,997.997192383,29.5200211109,145.93888855,-2
2012-01-02 10:00:00,0.3440424204,998.063476562,28.9736008709,140.227539062,0
2012-01-02 11:00:00,0.0928634927,997.142089844,23.1598008298,123.238876343,0
